Label,Text
negative,"Og kritikken er ikke uten en viss berettigelse – navn som Rise Against og The Shins , som avslutter hver sin dag på festivalens hovedscene , er ikke navn som i seg selv er kapable til å generere Bieber-tilstander i det sørlandske skogholtet ."
negative,"På sin ferske plate , Weapons , fremstår de tidvis som selve definisjonen av middelmådighet , med en populistisk mikstur av nu-metal , emorock og punkpop på menyen ."
negative,Det låter ikke spesielt fett .
negative,"Særlig vokalen er et gigantisk problem , til tross for at ansvaret er delt mellom Ian Watkins og Mike Lewis – det høres veikt og kraftløst ut ; en dødssynd i denne sjangeren ."
positive,"Den påstanden motbeviser hans stadig , som når han tar på seg en rosa hjelm noen har kastet på scenen mens han prøver å sette i gang en moshpit , eller oppfordrer publikum til å synge sin favorittlåt med Skrillex om de ikke kan teksten ( og lager matchende ) dupsteplyder i mikrofonen ."
negative,Lostprophets' uttrykk ville hatt godt av et fnugg av sjarmen han legger for dagen .
positive,Tyske anmeldere fant denne boka vittig .
positive,Jeg fant den mer underfundig og leken .
positive,"""Daniel Kehlmann ble kjent i Norge med boka """" Oppmålingen av verden """" , som ble betegnet som en genistrek ."""
positive,Han er tidligere belønnet med Thomas Mann-prisen og P.O. Enquist-prisen .
positive,"Konserten , som spilleteknisk er den vanskeligste av de tre Mozart skrev , ble spilt med bravur og lange legato-linjer i hornet ."
positive,En verdensstjerne har altså valgt ensemblet i Bjergsted !
positive,"I Mozarts Sinfonia Concertante K. 364 er solo-bratsjen stemt opp en halvtone , noe som gir den en klang nær opp til fiolinen , og bratsjstemmen er fordelt i orkesteret slik at klangfargen blir utvidet ."
positive,"Den langsomme satsen ble spilt vidunderlig vakkert , den er da også en av de mest sørgmodig-vakre moll-satser Mozart har skrevet ."
negative,Konserten fredag kveld var ikke særlig godt besøkt .
positive,Men det viktigste var at den ble holdt !
positive,Bandet har full kontroll på dramaturgien og virkemidlene :
positive,Det kombinerer gamle sirkustricks og nøye innstuderte arrangementer og fakter ( sjekk Helge Risas tidvise Frankenstein-aktige oppsyn og mekaniske enhåndsslag på tangentene ) med nødvendige elementer av improvisasjon og øyeblikksgalskap .
positive,Og kan det egentlig gå galt når den veltrimmede konsertmaskinen med maestro Janove Ottesen i front spiller på tilnærmet hjemmebane i intime Folken ?
positive,"Denne og andre kaizersklassikere som « Kontroll på kontinentet » og « Ompa til du dør » , sikrer gaulingen og allsangen ."
positive,"Men også flere av de nye låtene er allerede i ferd med å sette seg i publikumspannebrasken ; Folken-mengden tok begeistret imot ferske låter som « Volvo i Mexico » og « Enden av november » samt den vakre balladen « Den andre er meg » , som kom helt til slutt som duett med en usedvanlig sjarmerende , ung kvinnelig vokalist som jeg i all publikumsstøyen ikke greide å få med meg navnet på ."
positive,Og de nye låtene er åpnere og bredere .
positive,Kaizers utvider repertoaret og kvitter seg med de trangeste musikalske tvangstrøyene .
positive,Motown med elementer av Iggy og Froddi når Janove Ottesen mot slutten av konserten - til publikums hemningsløse glede - ender opp i bar overkropp .
positive,Folken er nå blant de mest intime lokalene Kaizers holder konserter i .
positive,La oss håpe at Folken ikke byttes ut med haller til neste turné .
negative,Et mangelfullt sammenrask har gitt ei underlig bok som levner forlag og forfatter liten ære .
negative,Han har prestert å overse den viktigste av dem alle :
positive,"Hun var , med sine minst 17 år i Lyngdal atskillig mer sørlending enn Anders Hovden som var kapellan på Lista i sju år , som er bredt presentert og illustrert med bølger mot noe jeg tror er Tromøyas steinete strender ."
negative,Bildene er ellers i stor grad sentimentale klisjeer .
negative,Definisjonen av « sørlands-salme » er tynn .
negative,Utvalget diktere er skjevt .
negative,Olsen interesserer seg bare for tekster .
negative,Noen har en kaudervelsk blanding av gammelt og nytt .
negative,Det er en ulykke at ikke Olsen Bruuns og Zetlitz ’ salmer er gjengitt i original .
negative,"Når det heter at en av melodiene til en Zetlitz-salme er av Ryga 1527 , steiler jeg ."
negative,"Hos Jørgen Moe rimer svak på tag ( i troen svak , kommer jeg , imot meg tag ) , det burde være svag på tag eller svak på ta ."
negative,Kombinasjonen av gammel og ny form blir bare klein .
positive,"Den har opprinnelig syv , og er en sørlandsk variant av Petter Dass ’ « Herre Guud dit Dyre Navn og Ære » , like omfattende hele skaperverket , men mer sørlandsk i lynnet , trolig den vakreste salmen som er skapt her sør ."
negative,Men den skulle altså forkortes .
negative,Men hvor ble det av Jens Gunderssen ?
negative,Og Jens Bjørneboe ?
negative,"Enn Gaute Heivoll og Ivar Skippervold , for ikke å snakke om Børre Knudsen ."
negative,Denne boka tjener verken forlag eller forfatter til ære .
positive,"Brødrene Petter ( en Aksel Hennie med nytrente magemuskler , en helt drøy 70-tallsbart og jaget blikk ) og Knut ( Jørgen Langhelle ) er dykkere som går ned på flere hundre meters dyp for å legge oljeledninger langs Norskerenna ."
positive,"""Regissør Erik Skjoldbjærg ( """" Insomnia """" , """" Nokas """" ) skaper i stedet spenning ved å gjøre """" Pionér """" til en nesten fysisk filmopplevelse ."""
positive,Spesielt undervannssekvensene er intense .
positive,"Suggererende vakre bilder akkompagneres av kompleks lyddesign – metalliske klanger , tung pusting – og Airs minimalistiske elektronika ."
positive,"Det er så man kjenner mørket og kulden på kroppen , saltsmaken i munnen og trykket mot tinningene ."
positive,"Skjoldbjærg går dokumentarisk til verks , er tett på handlingen og holder kameraet i konstant bevegelse ."
positive,""""""" Pionér """" er en vellaget spenningsfilm og en levende skildring av en viktig periode i norsk historie ."""
positive,Polanski er den snikende uhygges mester
positive,Befriende intelligent thriller .
negative,"Så nå har han isolert seg på en forblåst øy utenfor østkysten av USA , på et monster av en overdesignet , modernistisk villa i blågrått og sort mens kobbelet av journalister og demonstranter utenfor portene hyler stadig høyere , gamle allierte vender seg mot ham og himmelen utenfor blir stadig mer regntung og illevarslende blågrå ."
positive,"Kanskje blir han noe formildet av at skikkelsen som er en ikke særlig subtil parallell til ham selv , blir spilt av Pierce Brosnan med sedvanlig grånet verdensvandthet og åndsfraværende sjarm ."
positive,"Sniker seg inntilSom han viste til fulle i filmer som « Rosemary's Baby » , er Polanski den snikende uhygges mester ."
negative,"Spenningen i « Polanskis Skyggen » bygger seg opp sakte , sikkert for sakte for mange , og som en gjeng intenanende krabber i en fransk kokks gryte merker ikke publikum hvor hett det er før det er i seneste laget ."
